Disease	genes
Leber congenital amaurosis	"c(\ABCA4\"", \""AIPL1\"", \""ALMS1\"", \""BBS4\"", \""BEST1\"", \""CDHR1\"", \""CEP290\"", \""CNGA3\"", \""CRB1\"", \""crb1a\"", \""CRX\"", \""EYS\"", \""FSCN2\"", \""GDF6\"", \""GUCY2D\"", \""IMPDH1\"", \""INPP5E\"", \""IQCB1\"", \""KCNJ13\"", \""LCA5\"", \""MERTK\"", \""MPDZ\"", \""MYO7A\"", \""NMNAT1\"", \""NXNL1\"", \""PDE6B\"", \""PROM1\"", \""RBP3\"", \""RD3\"", \""RDH12\"", \""RDH5\"", \""RP1\"", \""RPE65\"", \""RPGRIP1\"", \""RPGRIP1L\"", \""SEMA4A\"", \""SNRNP200\"", \""SPATA7\"", \""ttc8r\"", \""TULP1\"")"""
"Leber congenital amaurosis / retinal dystrophy, early-onset severe"	RD3
Leber congenital amaurosis & Coats-like changes	TULP1
Leber congenital amaurosis & early-onset retinal dystrophy	SPATA7
Leber congenital amaurosis IV	"c(\AIPL1\"", \""SPATA7\"")"""
Leber congenital amaurosis with myopathy	DTHD1
"Leber congenital amaurosis, cone-rod"	RPGRIP1
Lecithin:cholesterol acyltransferase deficiency	LCAT
Left opercular polymicrogyria	FOXP2
Left ventricular noncompaction	"c(\MYH7\"", \""PRDM16\"", \""TAZ\"")"""
Left ventricular noncompaction with CHD	DTNA
Left ventricular outflow tract obstruction	VEGFA
Left-right axis malformation	"c(\ACVR2B\"", \""LEFTY2\"")"""
Left-right laterality defect	CFC1
Legg-Calve-Perthes disease	COL2A1
Legg-Calve-Perthes-like disease	COL2A1
"Legionnaires disease, association with"	TLR5
Legius syndrome	SPRED1
Leigh disease	ECHS1
"Leigh disease, with pyruvate and alpha-ketoglutarate dehydrogenase deficiencies"	LIPT1
Leigh syndrome	"c(\IARS2\"", \""MTFMT\"", \""NDUFA12\"", \""NDUFA9\"", \""NDUFAF5\"", \""NDUFS7\"", \""NDUFS8\"", \""PDHA1\"", \""PDHB\"", \""PET100\"", \""SDHA\"", \""SURF1\"")"""
Leigh syndrome and combined OXPHOS deficiency	MTFMT
Leigh syndrome and combined respiratory chain deficiency	MTFMT
Leigh syndrome due to mitochondrial complex IV deficiency	TACO1
Leigh syndrome with nephropathy and COQ10 deficiency	PDSS2
"Leigh syndrome, association with"	NDUFS7
"Leigh syndrome, atypical"	GYG2
"Leigh syndrome, early-childhood fatal"	SLC19A3
Leigh-like disease	TPK1
Leiomyomatosis	FH
Leiomyomatosis and renal cell cancer	FH
"Leiomyomatosis, renal cell cancer and male infertility"	FH
Lennox-Gastaut syndrome	"c(\ALG13\"", \""ANK3\"", \""CACNA1A\"", \""CDKL5\"", \""DCX\"", \""DNM1\"", \""FASN\"", \""FLNA\"", \""GABRB3\"", \""GRIN2B\"", \""IQSEC2\"", \""MTOR\"", \""SCN1A\"", \""SCN8A\"", \""STXBP1\"")"""
Lens luxation and striae	FBN1
Lenz-Majewski syndrome	PTDSS1
LEOPARD syndrome	PTPN11
Leprechaunism	INSR
"Leprosy, association with"	"c(\LACC1\"", \""TLR1\"")"""
"Leprosy, protection against, association with"	"c(\MRC1\"", \""TLR1\"")"""
"Leprosy, susceptibility to, association with"	NFKBIL1
"Leprosy, susceptibility, association with"	TLR2
Leptin deficiency	LEP
Leri-Weill dyschondrosteosis	"c(\SHOX\"", \""shoxb\"")"""
Lesch-Nyhan syndrome	HPRT1
Lethal arthrogryposis with anterior horn cell disease	GLE1
Lethal congenital contractural syndrome 4	MYBPC1
Lethal congenital contracture syndrome 1	GLE1
Lethal cystic kidney disease	NPHP3
"Leucoencephalopathy, X-linked"	SLC16A2
"Leukaemia, juvenile myelomonocytic"	CBL
"Leukaemia, myelodysplastic syndrome, melanoma, association with"	RMI1
Leukaemia/lymphoma	TP53
"Leukemia, association with"	DKK3
"Leukemia, risk , association with"	"c(\EGF\"", \""ERCC3\"")"""
"Leukemia, risk, association with"	"c(\AKR7A3\"", \""APOC4\"", \""BUB1B\"", \""CAPN13\"", \""CLCA2\"", \""EPHA7\"", \""FBLIM1\"", \""GPANK1\"", \""HUS1B\"", \""MCM3AP\"", \""MMP10\"", \""MMP9\"", \""MSH5\"", \""MYO18B\"", \""NUDT6\"", \""OGG1\"", \""OVGP1\"", \""POLB\"", \""PPIG\"", \""RB1CC1\"", \""SHROOM3\"", \""TNXB\"", \""TOP1MT\"", \""ZC3H3\"", \""ZNF233\"", \""ZNF24\"")"""
Leukocyte adhesion deficiency	ITGB2
Leukocyte adhesion deficiency 1v	FERMT3
Leukocyte adhesion deficiency 2	SLC35C1
Leukocyte adhesion deficiency 3	FERMT3
Leukocyte Ig-like receptor 3 deficiency	LILRA3
Leukodystrophy	CSF1R
Leukodystrophy with oligodontia	POLR3A
Leukodystrophy with spastic paraparesis & dystonia	FA2H
"Leukodystrophy, hypomyelinating"	TUBB4A
"Leukodystrophy, subclinical"	GJC2
"Leukodystrophy, X-linked"	TMEM187
Leukoencephalopathy and severe epilepsy	KCNT1
Leukoencephalopathy with brainstem & spinal cord involvement	DARS2
Leukoencephalopathy with cysts & hyperglycinaemia	NFU1
Leukoencephalopathy with thalamus & brainstem involvement	EARS2
Leukoencephalopathy with vanishing white matter	"c(\EIF2B1\"", \""EIF2B2\"", \""EIF2B3\"", \""EIF2B4\"", \""EIF2B5\"")"""
Leukoencephalopathy with white matter oedema	"c(\CLCN2\"", \""GJB1\"")"""
"Leukoencephalopathy, and ovarian failure in females"	AARS2
"Leukoencephalopathy, brain & spinal cord, lactate elevation, asymptomatic"	DARS2
"Leukoencephalopathy, brain & spine involvement, lactate elevation"	DARS2
"Leukoencephalopathy, infantile"	SDHAF1
Leukonychia	PLCD1
"Lewis antigen, absence"	FUT3
Lewy body dementia	GBA
Lewy body dementia with parkinsonism	PSEN2
Lewy body dementia/Alzheimer disease	GBA
Lewy body disorder	VPS35
Leydig cell hypoplasia	LHCGR
Leydig cell hypoplasia & male pseudohermaphroditism	LHCGR
Leydig cell hypoplasia II	"c(\LHCGR\"", \""lhcgr6a\"")"""
Leydig cell tumour of the testis	FH
Lhermitte-Duclos disease	PTEN
Li-Fraumeni syndrome	"c(\CHEK2\"", \""TP53\"")"""
Li-Fraumeni syndrome with gastric cancer	TP53
"Li-Fraumeni syndrome, increased risk"	CHEK2
Li-Fraumeni-like syndrome	TP53
Liddle syndrome	"c(\SCNN1B\"", \""SCNN1G\"")"""
LIG4 syndrome	LIG4
Limb girdle myasthenia	RAPSN
Limb malformation	HOXD13
Limb-girdle congenital myasthenic syndrome	DPAGT1
Limb-girdle congenital myasthenic syndrome with tubular aggregates	DPAGT1
"Limb-girdle congenital myasthenic syndrome, salbutamol-responsive"	MUSK
Limb-mammary syndrome	TP63
"Limb, craniofacial & heart defects"	PRKDC
"Limited cutaneous systemic sclerosis, association with"	CD22
"Lipid levels in hyperlipidaemia, association with"	PCDH15
Lipid storage myopathy	ETFDH
Lipodystrophy	IGF1R
Lipodystrophy and insulin-resistance	LMNA
Lipodystrophy and/or insulin-resistance	LMNA
"Lipodystrophy, congenital and fatty liver disease"	PCYT1A
"Lipodystrophy, congenital generalized"	"c(\AGPAT2\"", \""BSCL2\"", \""PPARG\"", \""PTRF\"")"""
"Lipodystrophy, partial"	CIDEC
"Lipodystrophy, partial, acquired"	LMNB2
Lipoid proteinosis	ECM1
Lipoprotein glomerulopathy	APOE
"Lipoprotein levels, association with"	SCARB1
Lipoprotein lipase deficiency	LPL
"Lipoprotein lipase deficiency, association with"	LPL
"Lipoprotein lipase deficiency, partial"	LPL
Lissencephaly	"c(\DCX\"", \""TUBA1A\"")"""
"Lissencephaly syndrome, X linked"	DCX
Lissencephaly with cerebellar hypoplasia	"c(\PAFAH1B1\"", \""TUBA1A\"", \""VLDLR\"")"""
Lissencephaly with Hirschsprung disease	TUBA1A
"Lissencephaly, isolated"	PAFAH1B1
"Lissencephaly, type II"	"c(\POMGNT1\"", \""POMT1\"", \""POMT2\"")"""
"Lissencephaly, X-linked, with abnormal genitalia"	ARX
Liver cancer	BRCA2
"Liver cirrhosis, association with"	"c(\MMP7\"", \""SERPINB3\"")"""
Liver disease	"c(\KRT18\"", \""KRT8\"")"""
"Liver disease, susceptibility to"	"c(\KRT18\"", \""KRT8\"")"""
Liver glycogenosis	PHKB
Liver glycogenosis 1	PHKA2
Liver glycogenosis 2	PHKA2
"Liver transplant, reduced risk of acute rejection"	CD86
Loeys-Dietz aortic aneurysm syndrome	"c(\TGFBR1\"", \""TGFBR2\"")"""
Loeys-Dietz syndrome	"c(\FBN1\"", \""TGFBR1\"", \""TGFBR2\"", \""tgfbr2a\"")"""
"Loeys-Dietz syndrome, type I"	TGFBR1
"Loeys-Dietz syndrome, type II"	"c(\TGFBR1\"", \""TGFBR2\"")"""
Lone atrial fibrillation	"c(\GATA4\"", \""GATA5\"")"""
"Long QT interval, drug induced, association with"	KCNE2
Long QT syndrome	"c(\AKAP9\"", \""ANK2\"", \""CACNA1C\"", \""CALM1\"", \""CALM2\"", \""CAV3\"", \""KCNE1\"", \""KCNE2\"", \""KCNE3\"", \""KCNH2\"", \""kcnh2tv3\"", \""KCNJ2\"", \""KCNJ5\"", \""KCNQ1\"", \""RYR2\"", \""scn1bb\"", \""SCN4B\"", \""SCN5A\"", \""SNTA1\"")"""
Long QT syndrome & atrial fibrillation	"c(\KCNQ1\"", \""SCN5A\"")"""
Long QT syndrome & catecholaminergic polymorphic ventricular tachycardia	CALM2
Long QT syndrome 1	CALM2
Long QT syndrome 2	KCNH2
Long QT syndrome 3	"c(\CALM2\"", \""SCN5A\"")"""
Long QT syndrome and generalized epilepsy	SCN5A
"Long QT syndrome, drug-associated"	"c(\ANK2\"", \""KCNH2\"", \""SCN5A\"")"""
"Long QT syndrome, drug-induced"	KCNE1
"Long QT syndrome, drug-induced, increased risk"	ACN9
"Long QT syndrome, epilepsy & sudden death"	KCNH2
"Long QT syndrome, latent"	KCNH2
"Long QT syndrome, malignant perinatal variant"	SCN5A
"Long QT syndrome, modifier of"	SNTA1
Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency	HADHA
"Longer QT interval, association with"	SCN5A
"Longevity, association with"	"c(\GABRR3\"", \""PMS2\"", \""PON1\"")"""
Loose anagen hair syndrome	KRT75
Loss of enzyme activity	"c(\CYP2J2\"", \""FAP\"")"""
Loss of FFA receptor function	FFAR1
Loss of nuclear localisation	ANG
Loss of pain perception	NGF
Loss of phosphorylation	DDX25
Loss of replication protein A binding	UNG
Low bone density	COL1A1
"Low bone mineral density, association with"	"c(\CER1\"", \""LGR4\"")"""
Low dietary cholesterol absorption	NPC1L1
Low HDL cholesterol	"c(\ABCG1\"", \""LIPG\"")"""
Low LDL cholesterol	"c(\MYLIP\"", \""PCSK9\"")"""
"Low LDL cholesterol, association with"	PCSK9
Low molecular weight proteinuria	CLCN5
"Low muscle mass, hypotonia, growth retardation, arthrogryposis & bifid uvula"	TGFB3
Low ovarian reserve	NR5A1
Low phospholipid associated cholelithiasis	"c(\ABCB11\"", \""ABCB4\"")"""
"Low renin hypertension, association with"	CYP11B2
"Low serum adiponectin level, association with"	ADIPOQ
Low serum leptin levels	LEP
Low triglyceride levels	APOC3
Low white blood cells	TINF2
Lowe oculocerebrorenal syndrome	OCRL
"Lowe oculocerebrorenal syndrome, without cataracts"	OCRL
Lower ability to activate NF-KB	TIRAP
Lower activity	"c(\ADCY9\"", \""CYP3A4\"")"""
"Lower activity, association with"	UGT2B15
Lower apoB levels	SPP1
Lower arachidonic & linoleic acid metabolism	CYP2J2
Lower arachidonic acid metabolism	CYP2J2
"Lower blood pressure in males, association with"	SLC14A2
"Lower blood pressure, association with"	PRLHR
"Lower diastolic blood pressure, association with"	NPPA
Lower enzyme activity	ASMT
"Lower femoral neck BMD, association with"	ESR1
"Lower femoral neck bone mineral density in women, association"	CLCN7
"Lower femoral neck bone mineral density, association with"	LRP5
Lower HDL cholesterol level	CETP
"Lower HNMT level, association with"	HNMT
"Lower lumbar bone mineral density, association"	CALCR
Lower motor neuron disease with respiratory failure	MAPT
"Lower motor neuron disease, childhood onset"	PLEKHG5
"Lower P-glycoprotein level, association with"	ABCB1
Lower plasma apo B concentration	APOA4
Lower plasma apo(a) concentration	LPA
Lower plasma eotaxin levels	CCL11
"Lower plasma LDL and HDL levels, association with"	C19orf80
Lower plasma TFPI	TFPI
Lower plasma triglyceride level	"c(\ANGPTL3\"", \""ANGPTL4\"", \""ANGPTL5\"")"""
"Lower plasma triglyceride level, association with"	ANGPTL4
Lower platelet binding capacity	SELPLG
"Lower platelet binding capacity, association with"	SELPLG
Lower serum insulin level	SLC2A10
"Lower sST2 levels, association with"	"c(\IL1RL1\"", \""IL1RL2\"", \""MEP1A\"", \""TMEM63A\"")"""
Lower testosterone levels	NPAS2
"Lower total cholesterol levels and myocardial infarction, reduced risk"	TM6SF2
"Lower total cholesterol, association with"	PPARA
Lower total-TC concentrations	TCN2
"Lower white blood cell count, association with"	CXCR2
Lp(a) deficiency	LPA
LPAC syndrome with dilation of the bile ducts and gallstones	ABCB4
Lujan syndrome	MED12
Lujan-Fryns syndrome	UPF3B
"Lumbar disc disease, association with"	"c(\CILP\"", \""COL9A3\"")"""
"Lumbar disc herniation, association with"	COL11A1
"Lumbar spine bone-mineral content, association with"	LRP5
Lung adenocarcinoma	ERBB2
"Lung adenocarcinoma, association with"	RAD9A
"Lung adenocarcinoma, decreased risk, association with"	MBD4
"Lung adenocarcinoma, increased risk, association with"	ERCC2
Lung cancer	"c(\atp2a2b\"", \""EGFR\"", \""TP53\"")"""
"Lung cancer and COPD, decreased risk"	SNAI1
"Lung cancer, association with"	"c(\AXIN2\"", \""CASP5\"", \""CSNK2A3\"", \""EGFR\"", \""GPX1\"", \""MAD1L1\"", \""MAD2L1\"", \""NBN\"", \""TNFRSF10A\"", \""TP53\"", \""XPC\"")"""
"Lung cancer, increased risk in females, non-smokers and non-drinkers"	ERBB2
"Lung cancer, increased risk, association with"	"c(\AKR1C3\"", \""RAD23B\"", \""RASSF1\"")"""
"Lung cancer, lower risk, association with"	ABCB1
"Lung cancer, reduced risk"	UGT1A6
"Lung cancer, reduced risk in Mexican Americans, association with"	ARHGEF11
"Lung cancer, risk, association with"	MGMT
"Lung cancer, smoking induced, association with"	"c(\CYP1A1\"", \""NQO1\"")"""
"Lung cancer, survival, association with"	CD3EAP
"Lung cancer, susceptibility to"	"c(\EGFR\"", \""ERCC3\"", \""ERCC4\"", \""ERCC5\"", \""XPC\"")"""
"Lung cancer, susceptibility to, association with"	"c(\ACCS\"", \""AKAP10\"", \""ATF1\"", \""BAG6\"", \""BARD1\"", \""CAMKK1\"", \""CDH12\"", \""CER1\"", \""CHD1L\"", \""COL12A1\"", \""DHX16\"", \""DUSP23\"", \""EPX\"", \""FASN\"", \""FGFRL1\"", \""GH1\"", \""GHR\"", \""GHRH\"", \""GPAM\"", \""GPR68\"", \""GRIK1\"", \""GTF2E1\"", \""GUCY2D\"", \""IGFBP5\"", \""IL17RB\"", \""ITGA11\"", \""ITGA7\"", \""MS4A6A\"", \""MSH4\"", \""NRIP1\"", \""PFAS\"", \""PLCD1\"", \""POP1\"", \""PPAT\"", \""PTPN13\"", \""PYCRL\"", \""SERPINI2\"", \""SETDB2\"", \""SFTPD\"", \""SULT1E1\"", \""TBX10\"", \""TNC\"", \""TP53BP1\"", \""XRCC4\"", \""ZNF600\"", \""ZNF624\"")"""
"Lung cancer, susceptibility, association with"	OGG1
Lung disease	ABCA3
Lung disease modifier association with SFTPC mutation	ABCA3
"Lung disease, childhood"	NKX2-1
"Lung disease, interstitial"	ABCA3
"Lung function in smokers, association with"	PLAUR
"Lupus nephritis, protection against, association"	FCGR2A
Lupus with neurological manifestations & multiple infections	C1QB
Luteinizing hormone resistance	LHCGR
Luteinizing hormone variant	LHB
Lymph vessel dysplasia	CCBE1
Lymphangioleiomyomatosis	TSC1
Lympho-histiocytic syndrome	CBL
"Lymphocytic leukemia, risk, association with"	GGT5
Lymphoedema	"c(\GJC2\"", \""HGF\"", \""MET\"")"""
Lymphoedema-cholestasis syndrome	CCBE1
Lymphoedema-distichiasis	FOXC2
"Lymphoedema, primary"	"c(\FLT4\"", \""FOXC2\"", \""GATA2\"")"""
"Lymphoedema, primary with myelodysplasia"	GATA2
"Lymphoedema, primary, Milroy-like"	VEGFC
"Lymphoma, B-cell"	KMT2A
"Lymphoma, increased risk"	TNFRSF13C
"Lymphoma, reduced risk, association with"	IL10RA
Lymphoproliferative disorder	ORC4
Lymphoproliferative syndrome	"c(\ITK\"", \""XIAP\"")"""
"Lymphoproliferative syndrome, X-linked"	"c(\SH2D1A\"", \""XIAP\"")"""
"Lymphoproliferative syndrome, X-linked type 1"	SH2D1A
"Lymphoproliferative syndrome, X-linked type 2"	XIAP
Lynch syndrome	"c(\MSH2\"", \""MSH6\"")"""
Lynch syndrome-associated breast cancer	"c(\MLH1\"", \""MSH2\"")"""
Lysinuric protein intolerance	SLC7A7
M-ficolin deficiency	FCN1
Macroadenoma	"c(\AIP\"", \""MEN1\"")"""
Macrocephaly	"c(\HEPACAM\"", \""PTEN\"")"""
"Macrocephaly, hypotonia & learning disabilities"	PTEN
"Macrocephaly, multiple epiphyseal dysplasia & facial features"	KIF7
"Macrocephaly, neurodevelopmental delay and seizures"	KPTN
"Macrocephaly, ventriculomegaly, VATER association"	PTEN
"Macroglobulinaemia, Waldenstrom's, association with"	HAS1
Macronodular adrenal hyperplasia	ARMC5
"Macronodular adrenal hyperplasia, corticotropin-independent"	ARMC5
Macroscopic haematuria with microhaematuria	COL4A4
Macrostomia	PTCH2
Macrothrombocytopaenia	"c(\ACTN1\"", \""GP1BA\"", \""ITGA2B\"", \""PRKACG\"", \""TUBB1\"")"""
Macrothrombocytopaenia with leukocyte inclusions	MYH9
Macrozoospermia	AURKC
Macular abnormalities	PAX2
Macular corneal dystrophy	CHST6
"Macular corneal dystrophy, type 1"	CHST6
"Macular corneal dystrophy, type 2"	CHST6
Macular degeneration	"c(\CFH\"", \""PROM1\"")"""
"Macular degeneration, age related"	"c(\ABCA4\"", \""BEST1\"", \""CFH\"", \""CFI\"", \""GPR75\"", \""HMCN1\"", \""PON1\"", \""RAX2\"")"""
"Macular degeneration, age related, increased risk"	C9
"Macular degeneration, age related, neovascular, association with"	HTRA1
"Macular degeneration, age related, protection against"	"c(\CFHR2\"", \""CFHR5\"", \""COL4A2\"", \""RPTOR\"", \""TNXB\"")"""
"Macular degeneration, age related, reduced risk"	SKIV2L
"Macular degeneration, age-related, association with"	"c(\ABCA4\"", \""CFH\"")"""
"Macular degeneration, age-related, in smokers, association with"	ARMS2
"Macular degeneration, juvenile"	CNGB3
"Macular degeneration, risk, association with"	CFB
Macular dystrophy	"c(\ABCA4\"", \""CRX\"", \""PRPH2\"")"""
"Macular dystrophy, concentric annular"	ABCA4
"Macular dystrophy, early-onset"	ABCA4
"Macular dystrophy, occult"	RP1L1
"Macular dystrophy, occult, with bilateral chronic subfoveal serous retinal detachment"	RP1L1
"Macular dystrophy, vitelliform"	"c(\BEST1\"", \""IMPG1\"")"""
"Maculopathy, atypical"	ABCA4
Madelung deformity	"c(\GNAS\"", \""SHOX\"")"""
"Magnesium, altered sensitivity to, association with"	TRPM7
Mainzer-Saldino syndrome	"c(\IFT140\"", \""IFT172\"")"""
Mainzer-Saldino syndrome / Jeune syndrome	IFT140
Mainzer-Saldino syndrome/asphyxiating thoracic dystrophy	IFT172
Mainzer-Saldino syndrome/asphyxiating thoracic dystrophy/Joubert syndrome	IFT172
Majeed syndrome	LPIN2
Major depression	APAF1
Major depressive disorder	DISC1
Mal de Meleda	SLURP1
"Malaria, severe, association with"	PRRC2A
"Malaria, severity, association with"	IL1B
"Malaria, susceptibility, association with"	IL1A
Malattia leventinese	EFEMP1
"Male factor infertility, association with"	YBX2
Male infertility	12-Sep
"Male infertility, association with"	"c(\PRM1\"", \""SEPT12\"", \""TEP1\"", \""TSSK2\"")"""
Male precocious puberty	LHCGR
Male pseudohermaphroditism	SRD5A2
Malformation of cortical development	"c(\DYNC1H1\"", \""KIF2A\"")"""
Malformations of cortical development	"c(\DYNC1H1\"", \""KIF5C\"", \""TUBG1\"")"""
Malignant hyperthermia	"c(\CACNA1S\"", \""RYR1\"")"""
Malignant hyperthermia & exertional rhabdomyolosis	RYR1
Malignant hyperthermia equivocal with halotane	RYR1
"Malignant melanoma, association with"	MYO7A
Malignant mesothelioma	"c(\ARID3C\"", \""SETD2\"", \""SMARCC1\"")"""
Malignant migrating partial seizures in infancy	"c(\KCNT1\"", \""TBC1D24\"")"""
"Malonic & methylmalonic aciduria, combined"	ACSF3
Malonyl-CoA decarboxylase deficiency	MLYCD
"Mandibular hypoplasia, deafness and progeroid features"	POLD1
Mandibuloacral dysplasia	"c(\LMNA\"", \""ZMPSTE24\"")"""
Mandibuloacral dysplasia & progeria syndrome	LMNA
"Mandibuloacral dysplasia, early onset"	ZMPSTE24
Mandibulofacial dysostosis	EFTUD2
Mandibulofacial dysostosis and esophageal atresia	EFTUD2
Mandibulofacial dysostosis with microcephaly	EFTUD2
Manitoba-oculo-tricho-anal syndrome	FREM1
Manitoba-oculo-tricho-anal syndrome with renal agenesis	FREM1
Manitoba-oculo-tricho-anal syndrome with renal dysplasia	FREM1
"Mannose-binding protein deficiency, association"	MBL2
"Mannosidosis, alpha"	MAN2B1
"Mannosidosis, beta, lysosomal"	MANBA
Mantle cell lymphoma	ATM
MAPK nonresponsiveness	SLC6A4
Maple syrup urine disease	"c(\BCKDHA\"", \""BCKDHB\"", \""DBT\"")"""
Maple syrup urine disease 2	DBT
Marden-Walker syndrome	PIEZO2
Marfan syndrome	"c(\COL1A2\"", \""FBN1\"", \""LTBP2\"", \""TGFBR2\"")"""
Marfan syndrome features	FBN1
Marfan syndrome II	"c(\TGFBR1\"", \""TGFBR2\"")"""
Marfan syndrome with intracranial hypertension	FBN1
"Marfan syndrome, atypical"	LTBP2
"Marfan syndrome, incomplete"	"c(\FBN1\"", \""TGFBR2\"")"""
"Marfan syndrome, neonatal"	FBN1
Marfan-like syndrome	"c(\TGFBR1\"", \""TGFBR2\"")"""
Marie Unna hereditary hypotrichosis	EPS8L3
Marinesco-Sjogren syndrome	SIL1
Marshall / Stickler syndrome	COL11A1
Marshall syndrome	COL11A1
Martsolf syndrome	RAB3GAP2
